lead_id,status,source,buyer,solicitation_number,title,portal_url,posted_date,due_date,lead_type,trigger_terms,fit_score,next_action,created_date,last_reviewed,notes
mississippi-rfx-3130002292-statewide-furniture,watching,Mississippi Procurement Portal,"State of Mississippi - Office of Purchasing, Travel and Fleet Management",1130-26-R-NBID-00012 / 3130002292,"Cafeteria, Dormitory, Library Furniture, Library Shelving, Lounge, Modular Office, School Furniture, Seating, Wood Desks and Wood Credenzas Negotiated Contract Bid",https://www.ms.gov/dfa/contract_bid_search/Bid/Details/44428,2026-03-02,2026-04-15,dorm_student_housing,dormitory furniture; furniture; cafeteria furniture; institutional furniture; product category 42000,45,MONITOR: closed 2026-04-15 before 2026-06-20 sweep; do not promote. Watch for next annual/statewide furniture negotiated bid cycle and verify mattress/bed categories before any response.,2026-06-20,2026-06-20,"Official detail page reviewed 2026-06-20. RFx status Closed; type Negotiated Bid; commodity; subcategory Supplies - Non-Technology; product category 42000 Furniture: Cafeteria. Description includes Cafeteria, Dormitory, Library Furniture, Library Shelving, Lounge, Modular Office, School Furniture, Seating, Wood Desks and Wood Credenzas. Contact listed as Lashun Smith, LASHUN.SMITH@DFA.MS.GOV, 6013591310. Attachments include dealer list, price list, catalog/category, purchase summary, terms, sample contract, and proposal guidelines for Furniture 2026."
mississippi-hinds-hospital-beds-3170034385,watching,Mississippi Procurement Portal,Hinds Community College,351-20251117104342 HCC / 3170034385,Hospital Beds - Bid #3315,https://www.ms.gov/dfa/contract_bid_search/Bid/Details/43531,2025-11-20,2025-12-09,public_health_residential,hospital beds; beds; mattresses; product category 41003; construction furniture and equipment,70,MONITOR: closed 2025-12-09 before 2026-06-20 sweep; do not promote. Use as Mississippi community-college/health-care bed rebid signal and watch Hinds/community college postings for future hospital-bed or mattress opportunities.,2026-06-20,2026-06-20,"Official detail page reviewed 2026-06-20. RFx status Closed; agency MPTAP; major category Commodities; subcategory Construction - Furniture and Equipment; description says Hinds Community College sought unpriced technical proposals for Hospital Beds, Bid #3315. RFx item product category 41003 Beds and Mattresses. Attachment: Bid_3315 Hospital Beds.pdf. No active bid action because due date was 2025-12-09."
arkansas-arbuy-portal,watching,Arkansas ARBuy,State of Arkansas - Office of State Procurement (TSS),,Arkansas ARBuy supplier registration and open-bid category alerts,https://arbuy.arkansas.gov/bso/view/search/external/advancedSearchBid.xhtml?openBids=true,2026-06-21,,other,mattress; bedding; beds; bed frame; furniture; dormitory furniture; institutional furniture; correctional supplies; inmate supplies; detention bedding; jail mattress; shelter supplies; emergency supplies; cots; medical mattress; residential care furniture; public health bedding,,MONITOR: ARBuy supplier registration completed 2026-06-21. Watch beford@silverlinesleep.com for Arkansas commodity/category alerts and re-sweep public open bids for product-fit solicitations.,2026-06-21,2026-06-21,"Public open-bids sweep 2026-06-21 via ARBuy external advanced search (openBids=true). 5 open solicitations, none product-fit: S000000551 Used Tire Program District 4 Rebid (close 2026-07-07), S000000541 Tax Booklets (2026-07-20), S000000523 DFA Armored Car Service (2026-07-09), S000000505 DHS User Acceptance Testing (2026-06-26), S000000495 Occupational Therapy (2026-06-26). ARBuy is the live State of Arkansas eProcurement portal (Periscope/BSO); registration is free and required to receive solicitation notifications and respond. Operator confirmed ARBuy registration completed 2026-06-21 for Continental Silverline / beford@silverlinesleep.com. Commodity/service codes visible at registration summary: 56-10-15 Furniture, 56-10-16 Outdoor Furniture, 56-10-17 Office Furniture, and 42-19-18 Patient Beds and Accessories. No current mattress/bed/dormitory/furniture/correctional product fit; keep as monitor/registered alert source."
new-mexico-spd-sciquest-portal,watching,New Mexico GSD / SPD (SciQuest/eProNM),"State of New Mexico - General Services Department, State Purchasing Division",,New Mexico State Purchasing supplier registration and public-bid category alerts,https://bids.sciquest.com/apps/Router/PublicEvent?CustomerOrg=StateOfNewMexico,2026-06-21,,other,mattress; bedding; beds; bed frame; furniture; dormitory furniture; institutional furniture; correctional supplies; inmate supplies; detention bedding; jail mattress; shelter supplies; emergency supplies; cots; medical mattress; residential care furniture; public health bedding,,MONITOR: NM coverage COMPLETE 2026-06-27 - Euna/Bonfire NM-SPD portal registration done (all 4 steps; 15-code commodity set; Opportunity Recommendations Daily -> funnel). eProNM + Euna both covered. eProNM ran through 2026-06-22; Euna/NM-SPD go-live 2026-06-29 (new solicitations post exclusively there). Watch beford@silverlinesleep.com for first category alert; no product-fit bid yet so stays watching.,2026-06-21,2026-06-28,"Public-events sweep 2026-06-21 via SciQuest public bid board (CustomerOrg=StateOfNewMexico). 16 open solicitations, none product-fit (Temporary Employment Services, construction/tenant-improvement projects, architect/engineer services RFPs, fuel supply and services, asphalt crack-sealing/surface treatment, gravel and landscaping materials, promotional items, payment processing, institutional trustee services, state fairgrounds master plan). VERIFICATION: live NM State Purchasing online portal is SciQuest/Jaggaer (eProNM) per generalservices.state.nm.us online-procurement page. Operator notice reviewed 2026-06-21 says eProNM remains SPD's current supplier portal for current solicitations and public opportunity notifications; current solicitations continue in eProNM/JAGGAER. SPD requires all suppliers to also register in Euna Supplier Network (Bonfire) - NM-SPD Procurement Portal at https://generalservices-state-nm-us.bonfirehub.com/; even suppliers already registered in Euna must register within the NM-SPD portal. Go-live date is 2026-06-29, after which all new solicitations will be posted exclusively in Euna/NM-SPD; eProNM accepts registrations/responses through 2026-06-22 (date corrected from a prior 2026-09-01 note, verified 2026-06-26 against the NM SPD New eProcurement Platform announcement on generalservices.state.nm.us). Operator confirmed NM registration completed 2026-06-21 for current eProNM/JAGGAER and future Euna/NM-SPD coverage. Alert/category coverage should include mattress, bedding, beds, cots, furniture, dormitory/residence hall, correctional/detention, shelter/emergency, and hospital/patient beds. No current mattress/bed/dormitory/furniture/correctional product fit. REGISTRATION UPDATE 2026-06-27: Euna/Bonfire NM-SPD registration completed and verified in-portal (all 4 steps green; logged in as Blake F.); clean 15-code commodity set (UNSPSC mattresses/patient-care beds/mattress pads/overlays + NIGP 420 furniture family + 850 mattress covers/pads/protectors; animal-bedding code 32508 removed); notifications Opportunity Recommendations=Daily plus Invites and Messages on, all routed to beford@silverlinesleep.com (Euna exposes no numeric vendor ID; account keyed by email). VERIFICATION UPDATE 2026-06-28: Euna Supplier Network / NM-SPD was checked logged-in; no L.P. anywhere. Business Profile reads 'Continental Silverline LLC' and propagates to NM-SPD; no tenant legal-name edit needed. SAM.gov separately remains blocked: UEI XF73FG8CVMX1 is attached to a wrong-named WIP record and must not be cited until self-service/FSD resolves correction vs. fresh validation. Status stays watching (no open product-fit solicitation)."
new-mexico-00-35000-19-08660-hospital-beds,watching,New Mexico GSD / SPD (SciQuest/eProNM),"State of New Mexico - General Services Department, State Purchasing Division",00-35000-19-08660,"Behavioral Health Hospital Beds, etc.",https://bids.sciquest.com/apps/Router/PublicEvent?CustomerOrg=StateOfNewMexico,2019-12-19,2020-01-08,public_health_residential,behavioral health hospital beds; medical surgical hospital beds; rehabilitation hospital beds; hospital equipment; mattress; beds,70,"MONITOR: closed 2020-01-08; do not promote. Use as New Mexico state-board hospital-bed/equipment rebid signal and watch eProNM alerts for future behavioral-health, hospital-bed, mattress, and residential-care equipment opportunities.",2026-06-21,2026-06-21,"Operator eProNM closed-search result reviewed 2026-06-21 for keyword mattress. Closed event ITBPA 00-35000-19-08660, Behavioral Health Hospital Beds, etc.; description: establish a price agreement for the purchase of Behavioral Health Hospital Beds, Medical Surgical Hospital Beds, Rehabilitation Hospital Beds and various hospital equipment. Opened 2019-12-19 and closed 2020-01-08 2:00 PM MST. Contact listed as Clarke Fountain, ClarkeJ.Fountain@state.nm.us. Related closed result shown: 00-350-19-08648 Various Hospital Equipment, opened 2019-08-29 and closed 2019-09-17, contact Kristin Carl. Historical signal only; no current active bid."
tdcj-bonfire-esbd-iw222654-cotton-batting,no-fit,Bonfire / Texas ESBD,Texas Department of Criminal Justice (TDCJ),IW222654,Cotton Batting,https://tdcj.bonfirehub.com/opportunities/237020,2026-06-05,2026-06-22,correctional_detention,cotton batting; mattress pads; TDCJ; correctional,0,"NO-FIT: Cotton batting is not a Continental Silverline product-fit opportunity. Keep TDCJ Bonfire/ESBD/CMBL monitoring active for future finished mattress, bedding, detention, dormitory, or shelter opportunities.",2026-06-21,2026-06-21,"Reviewed with operator on 2026-06-21 and confirmed no fit. Live TDCJ Bonfire RSS open-public-opportunities feed listed Reference # IW222654 Cotton Batting, posted 2026-06-05, project closes 2026-06-22 3:00 PM CDT, link https://tdcj.bonfirehub.com/opportunities/237020. ESBD detail https://www.txsmartbuy.gov/esbd/IW222654 listed status Addendum Posted, buyer/member 696, contact Kelly Pegoda, Kelly.Pegoda@tdcj.texas.gov, class/item 85056-Mattress Pads, response due 2026-06-19 3:00 PM, description procurement of cotton batting. Not promoted to active pipeline."
region4-esc-ionwave-omnia-portal,watching,IonWave / OMNIA Partners,Region 4 Education Service Center (OMNIA lead agency),,Region 4 ESC IonWave supplier registration and current-bid watch,https://region4esc.ionwave.net/SourcingEvents.aspx?SourceType=1,2026-06-22,,co-op_contract_vehicle,OMNIA; Region 4 ESC; IonWave; furniture; dormitory; mattress; NIGP 205; NIGP 420,,"MONITOR: Region 4 ESC IonWave registration/profile and notification email verified 2026-06-22; keyword setup includes mattress, mattresses, bedding, beds, bed frame, dormitory mattress, institutional mattresses, jail mattress, medical mattress, bunk, cots, student housing, and residence hall. Re-sweep current bids weekly; do not promote without confirmed open product-fit solicitation.",2026-06-22,2026-06-29,"Public sweep refreshed 2026-06-22. Region 4 ESC IonWave current bids page listed 6 items: 26-09 Automotive and Large Vehicle Solutions (closed 2026-06-09), R42026-03 Academic/Leadership/Student Support (closed 2026-06-09), 26-16 Sport Surfaces due 2026-06-23, 26-10 Trenchless Technology due 2026-06-25, 26-11 Facility Technology Integration and Security System Services due 2026-06-25, and 26-12 Facilities Management Software and Solutions due 2026-06-25. Operator completed Region 4 ESC IonWave profile review 2026-06-22: BEFORD@SILVERLINESLEEP.COM profile has receive-emails enabled, system notifications enabled, announcement emails enabled, and Event View/Respond role enabled; supplier company profile contains mattress, bed, bedding, dormitory, institutional, correctional, cot, bunk, residence hall, and student-housing keywords. Operator reported no open/current product-fit bid after logged-in sweep. OMNIA/Region 4 watch remains registration/notification value only; no active pipeline promotion."
omnia-269-2025-148-furniture-installation-design,watching,OMNIA Partners,"The City of Charlotte, North Carolina (OMNIA lead agency)",269-2025-148,"Furniture, Installation, Design, Consulting Services, and Related Products and Services",https://www.omniapartners.com/get-started/solicitations,,2026-04-10,co-op_contract_vehicle,OMNIA; furniture; installation; design; related products and services; contract vehicle,35,"MONITOR: closed 2026-04-10 before sweep; check OMNIA/City of Charlotte award outcome and contract term. Do not promote unless a future/open event includes confirmed mattress, dormitory, bed, or bedding scope.",2026-06-21,2026-06-21,"OMNIA current-solicitations page reviewed 2026-06-21. Solicitation 269-2025-148, Furniture, Installation, Design, Consulting Services, and Related Products and Services, lead agency The City of Charlotte, North Carolina, response due 2026-04-10 2:00 PM EST. Broad furniture co-op vehicle, not currently open and no explicit mattress scope confirmed from public listing. Use as award/renewal intelligence only; active pipeline remains blocked until a live product-fit solicitation appears."
texas-am-aggiebid-portal,watching,AggieBid / SciQuest,The Texas A&M University System,,Texas A&M AggieBid supplier registration and public-bid watch,https://bids.sciquest.com/apps/Router/PublicEvent?CustomerOrg=TAMU,2026-06-21,,dorm_student_housing,Texas A&M; AggieBid; SciQuest; residence hall; student housing; dormitory; mattress; Twin XL,,"MONITOR: AggieBid/AggieBuy supplier registration confirmed 2026-06-22; watch beford@silverlinesleep.com and re-sweep AggieBid open events for explicit mattress, bedding, dormitory furniture, bed, Twin XL, or residence-hall opportunities. Do not promote closed historical rows.",2026-06-21,2026-06-22,"AggieBid/AggieBuy supplier registration confirmed by operator 2026-06-22. Public/open board still has no current mattress, bedding, bed, dormitory, residence-hall, Twin XL, or furniture product fit. Operator closed-search result found historical canceled ITB AG-EXT-ITB-1096, Mattresses, opened 2019-03-04 2:30 PM CST and closed 2019-03-08 12:00 PM CST, contact Lindsay Weber LRWEBER@AG.TAMU.EDU. Historical product-fit signal only; no active pipeline promotion."
choice-partners-hcde-ffe-watch,watching,Choice Partners / HCDE IonWave,Choice Partners - Harris County Department of Education,23/022MF,"Furniture, Fixtures, Equipment (FFE) and Related Items contract/rebid watch",https://www.choicepartners.org/current-rfps,2026-06-21,2027-06-01,co-op_contract_vehicle,Choice Partners; HCDE; IonWave; furniture; fixtures; equipment; FFE; NIGP 205; NIGP 420,35,"MONITOR: Register/repair HCDE/Choice only as CONTINENTAL SILVERLINE PRODUCTS, LLC. Do not enter or cite UEI XF73FG8CVMX1 unless SAM/FSD resolves it as LLC-valid. If the portal requires a valid/active SAM UEI, pause until the SAM entity-correction path is complete. Watch for next FFE RFP estimated 2027-06-01; do not promote without explicit mattress, bed, dormitory, or bedding scope.",2026-06-21,2026-06-24,"Registration-path refresh 2026-06-22. HCDE eBid/IonWave supplier registration preliminary page includes fields for Company Name, Main Phone, SAM.gov Unique Entity ID (UEI), and DUNS before company/address/commodity-code steps. Existing public signal remains: Choice Partners FFE contract 23/022MF is a future rebid/watch item, with estimated next advertise date 2027-06-01; no open mattress/bed/dormitory product-fit bid confirmed. Choice Partners public Current RFPs refresh 2026-06-24 showed only Modular Buildings and Related Items (JOC-IDIQ) 26/028MF, due 2026-06-16, with downloads requiring vendor login/registration. No current FFE, mattress, bed, bedding, dormitory, or sleep-product RFP confirmed. SAM.gov status update 2026-06-28: UEI XF73FG8CVMX1 is attached to a wrong-named Work-In-Progress record displaying CONTINENTAL SILVERLINE PRODUCTS, L.P.; no CAGE and no banking entered. Do not use this UEI for HCDE/Choice unless the SAM correction/self-service/FSD path resolves it as LLC-valid."
eandi-university-sleep-ei00071,watching,E&I Cooperative Services,E&I Cooperative Services,EI00071 / RFP 683486,University Sleep Products residence hall mattress contract,https://www.eandi.org/contracts/university-sleep-products/,2026-06-21,2031-01-31,awarded_contract_watch,E&I; University Sleep Products; residence hall mattresses; mattress covers; hospitality supplies; RFP 683486,90,"MONITOR: E&I Supplier Management/JAGGAER registration completed 2026-06-22; watch beford@silverlinesleep.com and E&I current/upcoming RFP events for mattress, dormitory, residence hall, bedding, bed, cot, or institutional furniture terms. Awarded University Sleep Products contract runs through 2031-01-31; do not promote unless a new open product-fit RFP appears.",2026-06-21,2026-06-22,"E&I Supplier Management/JAGGAER registration completed by operator 2026-06-22 with commodity-code/product selections for mattress, bedding, furniture, dormitory/residence hall, bed/cot, hospital/patient-bed, and institutional furniture watch terms. Sourcing Events home showed No Results for opening/closing soon and no contracts visible for this account at registration time. Existing high-fit intelligence remains University Sleep Products contract EI00071 / RFP 683486 through 2031-01-31, awarded watch only; no open mattress, bedding, residence-hall, dormitory, or furniture product-fit RFP confirmed."
sourcewell-091423-furniture-solutions,watching,Sourcewell,Sourcewell,091423,Furniture Solutions with Related Accessories and Services contract/rebid watch,https://www.sourcewell-mn.gov/cooperative-purchasing/091423-kii,2026-06-21,2027-12-04,co-op_contract_vehicle,Sourcewell; furniture; dormitory furniture; library furniture; classroom furniture; KI; Steelcase; contract 091423,45,"MONITOR: Sourcewell Procurement Portal registration confirmed 2026-06-24. Watch Sourcewell alerts and re-solicitation windows for Furniture Solutions 091423 (matures 2027-12-04) and any explicit mattress, bed, dormitory, bedding, cot, shelter, or residence-hall scope; promote only with confirmed current product fit.",2026-06-21,2026-06-24,"Sourcewell procurement portal refreshed 2026-06-22. Portal states prospective vendors can create an account, select commodity codes, and receive system-generated email notifications for matching new opportunities; public solicitations are posted on the site; Sourcewell does not charge a fee to create/maintain an account or access solicitation documents, though a free account is required to download bid documents/addenda. Static fetch did not expose the script-loaded opportunity rows during this refresh; rely on portal account alerts plus manual/browser review for current open rows. Existing watch remains Sourcewell Furniture Solutions contract family 091423 maturing 2027-12-04; no confirmed open mattress or bedding solicitation was found. Sourcewell refresh 2026-06-24 confirmed contract 091423-KII remains a furniture contract maturing 2027-12-04 and includes dormitory/library furniture and healthcare furnishings among other furniture categories. Current open Sourcewell solicitations were Swimming Pool Renovation/Repair, Airfield Runway Materials, Fencing Materials, Conducted Energy Weapons/Less Lethal Equipment, Trailers, and Illinois IDIQ construction. No open mattress, bedding, dormitory bed, cot, or sleep-product solicitation confirmed. Operator received automated Sourcewell Procurement Portal vendor registration confirmation 2026-06-24 for Blake / Continental Silverline. Confirmation says account settings can be modified in the Sourcewell Procurement Portal and portal resources/FAQ are available from the home page. Keep Sourcewell alert/profile coverage focused on furniture, dormitory/residence hall, mattresses, bedding, beds, cots, shelter/emergency, institutional furniture, and related sleep-product terms. No open mattress, bedding, dormitory bed, cot, or sleep-product Sourcewell solicitation was confirmed during the 2026-06-24 sweep; no active pipeline promotion."
